<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <UpVolume>, <DownVolume>, <TotalVolume>, <UpTicks>, <DownTicks>, <TotalTicks>, <OpenInterest>, <Knt1>, <usc1>, <+mx1>, <-mx1>, <Message1>, <Knt2>, <usc2>, <+mx2>, <-mx2>, <Message2>, <Knt3>, <usc3>, <+mx3>, <-mx3>, <Message3>, <Knt4>, <usc4>, <+mx4>, <-mx4>, <Message4>, <Knt5>, <usc5>, <+mx5>, <-mx5>, <Message5>, <Knt6>, <usc6>, <+mx6>, <-mx6>, <Message6>, <Knt7>, <usc7>, <+mx7>, <-mx7>, <Message7>, <Knt8>, <usc8>, <+mx8>, <-mx8>, <Message8>, <Knt9>, <usc9>, <+mx9>, <-mx9>, <Message9>, <Knt10>, <usc10>, <+mx10>, <-mx10>, <Message10>, <Knt11>, <usc11>, <+mx11>, <-mx11>, <Message11>, <Zero Line>, <MGapSum 1>, <MGapSum 2>, <MGapSum 3>, <MGapSum 4>, <MGapSum 5>, <MGapSum 6>, <MGapSum 7>, <MGapSum 8>, <MGapSum 9>, <MGapSum 10>, <MGapSum 11>, <MGapSum 12>, <MGapSum 13>, <MGapSum 14>, <MGapSum 15>, <MAvgOfAvg>, <DblSlwK>, <DblSlwD>, <OverBot>, <OverSld>, <HA1>, <HA2>, <HA3>, <HA4>, <HA5>, <HA6>, <AvgOfHAs>, <HA7>, <HA8>, <HA9>, <HA10>, <HA11>, <HA12>, <HA13>, <HA14>, <HA15>, <zero>, <HA1.U>, <HA1.D>, <HA2.U>, <HA2.D>, <HA3.U>, <HA3.D>, <HA4.U>, <HA4.D>, <HA5.U>, <HA5.D>, <HA6.U>, <HA6.D>, <Z.U>, <Z.D>, <HA7.U>, <HA7.D>, <HA8.U>, <HA8.D>, <HA9.U>, <HA9.D>, <HA10.U>, <HA10.D>, <HA11.U>, <HA11.D>, <HA12.U>, <HA12.D>, <HA13.U>, <HA13.D>, <HA14.U>, <HA14.D>, <HA15.U>, <HA15.D>, <TGapSum 1>, <TGapSum 2>, <TGapSum 3>, <TGapSum 4>, <TGapSum 5>, <TGapSum 6>, <TGapSum 7>, <TGapSum 8>, <TGapSum 9>, <TGapSum 10>, <TGapSum 11>, <TGapSum 12>, <TGapSum 13>, <TGapSum 14>, <TAvgOfAvg>, <SlowK>, <SlowD>, <OverBot>, <OverSld>
11/18/2008,16:15:00,669.25,669.25,649.25,649.25,8398416,8501605,16900023,1294754,1293984,2588738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9890.58,9794.25,9707.02,9636.33,9591.75,9553.98,9528.84,9532.93,9520.57,9579.56,9622.29,9684.85,9771.45,9893.65,10025.36,9101.93,68,33,90,10,691.22,687.78,684.17,680.36,676.30,672.00,595.72,664.74,658.46,651.77,647.59,641.93,639.48,634.75,631.29,628.74,0.00,0.00,675.25,0.00,681.25,0.00,693.25,0.00,705.25,0.00,717.25,0.00,729.25,0.00,0.00,0.00,741.25,0.00,0.00,0.00,0.00,0.00,777.25,0.00,789.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-135,-231,-318,-389,-434,-471,-497,-492,-505,-446,-403,-341,-254,-132,-336,11,8,90,10
11/19/2008,16:15:00,649.25,649.25,629.25,629.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9854.11,9757.11,9670.31,9597.33,9550.17,9508.96,9479.00,9476.07,9458.08,9508.98,9546.26,9602.17,9682.89,9798.43,9924.26,9052.25,65,37,90,10,687.23,684.07,680.80,677.37,673.71,669.79,597.37,662.85,657.23,650.46,646.00,640.15,637.27,632.68,628.76,625.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733.25,0.00,745.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-70,-167,-254,-327,-374,-415,-445,-448,-466,-415,-378,-322,-241,-126,-297,10,8,90,10
11/19/2008,16:15:00,629.25,629.25,609.25,609.25,1665116,1764915,3430032,252684,258614,511298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9795.28,9699.50,9614.79,9541.28,9492.95,9449.70,9416.15,9407.61,9385.09,9428.96,9461.56,9511.60,9587.10,9696.75,9817.33,9009.01,63,39,90,10,681.28,678.45,675.49,672.44,669.20,665.72,599.34,659.23,654.48,647.74,643.15,637.19,634.01,629.63,625.34,621.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22,-118,-203,-276,-324,-368,-401,-410,-432,-388,-356,-306,-230,-121,-264,9,8,90,10
11/20/2008,16:15:00,609.25,609.25,589.25,589.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9714.92,9622.16,9540.88,9468.44,9420.17,9376.15,9340.15,9327.33,9301.14,9338.97,9367.56,9412.48,9483.37,9587.77,9703.67,8970.15,66,42,90,10,673.48,671.02,668.42,665.70,662.88,659.84,601.39,653.87,650.26,643.64,639.11,633.10,629.75,625.58,621.01,617.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,-82,-163,-235,-283,-328,-364,-376,-403,-365,-336,-291,-220,-116,-237,9,9,90,10
11/20/2008,16:15:00,589.25,589.25,569.25,569.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9613.81,9525.80,9449.13,9379.19,9332.08,9288.46,9251.13,9235.27,9206.30,9239.05,9264.23,9304.70,9371.50,9471.15,9582.83,8933.59,69,44,90,10,663.90,661.89,659.68,657.32,654.86,652.27,603.30,646.82,644.54,638.16,633.86,627.88,624.48,620.56,615.80,611.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31,-57,-134,-204,-251,-294,-332,-348,-377,-344,-319,-278,-211,-112,-215,9,9,90,10
11/20/2008,16:15:00,569.25,569.25,549.25,549.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9492.58,9410.98,9340.05,9273.95,9228.93,9186.77,9149.20,9131.64,9100.74,9129.33,9151.68,9188.31,9251.52,9346.89,9454.77,8897.28,74,46,90,10,652.56,651.11,649.37,647.42,645.32,643.11,604.87,638.16,637.30,631.29,627.39,621.50,618.20,614.58,609.72,605.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38,-44,-115,-181,-226,-268,-306,-323,-354,-325,-303,-266,-203,-108,-199,9,9,90,10
11/20/2008,16:15:00,569.25,589.25,569.25,589.25,2170738,2300721,4471459,341444,345449,686893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9370.66,9295.49,9230.15,9167.79,9124.80,9084.10,9046.59,9027.69,8994.92,9019.41,9038.87,9071.64,9131.20,9222.12,9326.09,8859.61,85,49,90,10,641.28,640.36,639.12,637.59,635.85,633.98,605.94,629.42,629.76,624.16,620.79,615.03,611.90,608.52,603.61,599.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45,-31,-96,-158,-201,-242,-279,-298,-331,-307,-287,-254,-195,-104,-183,9,9,90,10
11/21/2008,16:15:00,589.25,609.25,589.25,609.25,2181474,2130402,4278847,337384,341698,679082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9258.05,9188.54,9128.02,9068.59,9027.07,8987.32,8949.74,8929.40,8894.45,8914.49,8930.70,8959.31,9014.91,9100.91,9200.59,8819.53,93,53,90,10,631.01,630.53,629.73,628.63,627.24,625.65,606.44,621.42,622.57,617.38,614.59,609.00,606.08,602.82,597.90,593.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57,-12,-73,-132,-174,-213,-251,-271,-306,-286,-270,-241,-186,-100,-164,10,9,90,10
11/24/2008,16:15:00,609.25,629.25,609.25,629.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9162.74,9097.54,9040.57,8982.76,8941.87,8902.21,8864.06,8841.75,8804.02,8818.97,8831.35,8855.25,8906.39,8986.78,9081.61,8776.63,100,57,90,10,622.51,622.34,621.88,621.13,620.07,618.75,606.32,614.78,616.30,611.46,609.22,603.83,601.16,597.88,592.96,588.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,809.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81,16,-41,-99,-140,-179,-218,-240,-278,-263,-250,-226,-175,-95,-140,11,9,90,10
11/24/2008,16:15:00,629.25,649.25,629.25,649.25,1739067,1674332,3413399,264593,267567,532160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9090.79,9028.19,8973.11,8915.33,8874.04,8833.44,8793.97,8768.80,8727.46,8736.48,8744.30,8762.79,8808.81,8882.71,8971.97,8731.12,100,63,90,10,616.32,616.34,616.06,615.55,614.76,613.68,605.66,609.92,611.39,606.83,605.04,599.86,597.44,594.00,589.09,584.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119,56,1,-57,-98,-139,-178,-203,-245,-235,-228,-209,-163,-89,-111,12,10,90,10
11/25/2008,16:15:00,649.25,669.25,649.25,669.25,1558822,1557331,3116154,253388,262495,515883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9046.38,8984.54,8929.51,8869.96,8827.14,8784.50,8742.80,8713.67,8667.79,8669.88,8672.32,8684.59,8724.74,8791.20,8874.06,8683.80,100,70,90,10,612.75,612.85,612.66,612.22,611.57,610.66,604.54,607.11,608.19,603.84,602.32,597.33,595.14,591.40,586.49,581.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172,110,55,-4,-47,-90,-131,-160,-206,-204,-202,-189,-149,-83,-75,13,10,90,10
11/26/2008,16:15:00,669.25,689.25,669.25,689.25,1111368,1065963,2177331,187986,190461,378447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9031.80,8968.96,8912.07,8849.05,8803.57,8757.81,8712.93,8678.64,8627.18,8621.28,8617.52,8622.72,8656.21,8714.20,8789.82,8635.98,100,78,90,10,611.90,612.01,611.80,611.34,610.68,609.84,603.12,606.44,606.88,602.67,601.27,596.42,594.38,590.24,585.34,580.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242,179,122,59,14,-32,-77,-111,-163,-169,-172,-167,-134,-76,-32,14,10,90,10
11/28/2008,16:15:00,669.25,669.25,649.25,649.25,466704,423025,889730,62755,60824,123579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9028.77,8964.77,8905.71,8839.12,8790.82,8741.85,8693.62,8653.94,8596.77,8582.73,8572.62,8570.47,8597.03,8646.18,8714.22,8588.95,100,88,90,10,611.96,612.08,611.85,611.35,610.64,609.77,601.55,606.48,606.36,602.29,600.94,596.19,594.24,589.71,584.86,580.05,0.00,643.25,0.00,637.25,0.00,625.25,0.00,613.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315,251,191,125,77,28,-21,-60,-117,-131,-142,-144,-117,-68,12,14,11,90,10
